size,time,eval
5,1,10.0619974732399
6,1,12.0607174038887
7,1,12.9778771996498
8,1,16.0491383671761
9,1,14.1895067095757
10,1,17.8593990206718
11,2,19.8939814567566
12,2,24.1064826846123
13,2,21.2589944005013
14,3,27.2542075514793
15,3,26.0303944349289
16,4,27.1530130505562
17,5,29.8495813012123
18,6,29.4649758934975
19,7,33.2881602048874
20,9,34.2136532068253
21,10,33.8123881816864
22,12,37.407298207283
23,15,38.015082359314
24,18,39.210620701313
25,21,39.2848318815231
26,24,39.859724521637
27,28,43.027755856514
28,33,43.9343674778938
29,39,44.376650094986
30,45,47.8634575009346
31,53,50.1880102157593
32,60,48.4998658299446
33,69,52.308918595314
34,80,54.5572150349617
35,90,52.7034329771996
36,102,54.1475440263748
37,118,56.0053442120552
38,133,58.6679170131683
39,150,62.5791485905647
40,169,60.369254887104
41,188,61.8546677231789
42,209,62.1016939878464
43,234,66.0689034461975
44,264,67.1713647246361
45,297,70.2591298818588
46,327,68.1202510595322
47,361,71.1667870879173
48,402,72.0752329826355
49,444,75.1017709970474
50,489,75.5976603627205
5,489,10.9227228164673
6,489,13.7651978135109
7,489,13.0017712712288
8,489,15.4776867032051
9,489,18.4019628763199
10,490,18.4705597758293
11,490,19.6870837807655
12,490,22.2904717922211
13,490,23.643828868866
14,491,24.6214243769646
15,492,25.5121716856956
16,492,29.3069737553596
17,493,29.5008793473244
18,494,30.0121873617172
19,495,31.9538551568985
20,496,32.1712785363197
21,498,35.5110343694687
22,500,34.9566603302956
23,502,38.1385850906372
24,505,38.9282476305962
25,508,40.8310878872871
26,512,42.9735572338104
27,516,41.5299000144005
28,521,42.6778921484947
29,527,45.8443422317505
30,533,45.8641597032547
31,540,49.585768699646
32,548,51.0929499268532
33,556,51.9529799818993
34,567,54.5642396211624
35,578,55.5986920595169
36,591,54.5188576579094
37,605,58.5822336673737
38,621,60.0433058738708
39,639,60.0097572207451
40,658,61.2532205581665
41,683,65.3156735897064
42,709,66.8818410634995
43,735,64.6016529202461
44,760,63.7698096632957
45,791,68.9931803941727
46,825,72.3435708284378
47,861,71.9786197543144
48,900,73.6821292042732
49,944,73.7799196243286
50,991,76.5412018895149
5,991,11.2466257214546
6,991,12.0339640974998
7,991,12.796262383461
8,991,14.012423992157
9,991,18.2817468643188
10,991,17.0734624266624
11,991,18.9487596154213
12,992,20.1363508105278
13,992,23.6645205020905
14,992,23.3586495518684
15,993,24.2353910803795
16,994,26.6443805098534
17,995,28.0770526528358
18,996,31.1775387525558
19,997,31.5454598665237
20,998,31.5552352666855
21,1000,35.0008450746536
22,1002,33.2841372489929
23,1004,37.3152168393135
24,1007,38.8461566567421
25,1010,38.0490263104439
26,1013,44.1323951482773
27,1018,41.0589511990547
28,1022,44.933566570282
29,1028,46.8199656605721
30,1034,48.0668638944626
31,1042,48.2842602133751
32,1050,53.3207656741142
33,1059,49.9635334610939
34,1069,50.3718494176865
35,1079,52.3893918395042
36,1092,55.9609214663506
37,1105,54.3737314343452
38,1119,56.9997198581696
39,1136,59.7152735590935
40,1156,62.3147519826889
41,1175,60.5660530924797
42,1198,63.7251533269882
43,1223,64.0496073961258
44,1252,67.9513099789619
45,1283,67.1403531432152
46,1316,68.2257909178734
47,1351,73.2667558789253
48,1390,73.3022035360336
49,1431,75.0339982509613
50,1476,75.3426704406738
5,1476,12.0336059331894
6,1476,12.6610744595528
7,1476,12.8768027424812
8,1476,14.8661568164825
9,1477,18.4116018414497
10,1477,16.2426232099533
11,1477,21.1314408779144
12,1477,21.3705303668976
13,1478,22.7688354849815
14,1478,23.4341033697128
15,1479,26.3168796300888
16,1479,26.7493446469307
17,1480,29.1519973278046
18,1481,29.0449984073639
19,1482,33.9642848968506
20,1484,33.8516704440117
21,1486,34.6961740255356
22,1492,34.8555861115456
23,1494,36.109072804451
24,1497,39.0187872052193
25,1500,41.1547381877899
26,1504,40.7877532839775
27,1508,42.7082613110542
28,1512,44.3591450452805
29,1518,46.59514939785
30,1524,46.0217520594597
31,1532,48.4951792955399
32,1540,48.0981248021126
33,1548,50.3466504812241
34,1558,52.9013832807541
35,1569,55.2035602331161
36,1582,56.3894979953766
37,1596,57.666460454464
38,1610,59.5776078104973
39,1628,59.4995363950729
40,1649,62.1928821802139
41,1672,63.3603165745735
42,1696,65.1188473701477
43,1723,66.4023271799088
44,1750,66.4776863455772
45,1783,70.2194713354111
46,1816,71.084586083889
47,1851,72.0426978468895
48,1891,71.9908672571182
49,1933,74.9121175408363
50,1973,71.5685624480247
5,1974,11.2321840524673
6,1974,12.5712380409241
7,1974,13.9878343939781
8,1974,15.5484927296638
9,1974,17.8856251239777
10,1974,18.1545395255089
11,1974,19.1823009252548
12,1975,22.4805315732956
13,1975,22.93227237463
14,1975,24.2127488255501
15,1976,25.9242806434631
16,1977,26.8968393802643
17,1978,28.0937348008156
18,1979,29.5357238054276
19,1980,31.1715848445892
20,1981,32.0021921396255
21,1983,34.5804100036621
22,1986,37.9347863197327
23,1988,35.5462064743042
24,1991,38.9697474241257
25,1994,40.5740681886673
26,1998,44.3131321668625
27,2002,41.3147401213646
28,2007,44.1538332700729
29,2012,43.2318487763405
30,2019,48.6516604423523
31,2026,49.7709392309189
32,2035,52.5443194508553
33,2044,50.5296731591225
34,2053,53.7930471301079
35,2064,53.6744461655617
36,2078,55.5972381234169
