size,time,eval
5,1,9.60998558998108
6,1,10.862174808979
7,1,13.3346979022026
8,1,15.9267302155495
9,2,15.8357647657394
10,2,18.1876056194305
11,3,17.8867577910423
12,4,21.1576339006424
13,5,21.8839339017868
14,7,25.5458288192749
15,9,25.5506264567375
16,13,26.942166864872
17,17,25.8843039274216
18,22,28.6598372459412
19,29,33.4531760811806
20,37,31.789303123951
21,48,35.6924406886101
22,61,36.969349861145
23,79,36.7742945551872
24,99,40.069010078907
25,122,38.7971767187119
26,151,43.8544824719429
27,184,40.5319176912308
28,227,45.6203322410583
29,273,43.5450257062912
30,332,47.9179311394691
31,399,47.4284495711327
32,480,49.6396850347519
33,581,51.6633776426315
34,687,52.2818424105644
35,808,53.9530475139618
36,947,58.513791680336
37,1101,55.7104008197784
38,1273,58.414402782917
39,1477,62.2669902443886
40,1703,61.7864193320274
41,1954,59.2058300971985
42,2245,65.0408802628517
43,2574,66.8110092878342
44,2944,65.58315294981
45,3344,67.1865964531898
46,3800,70.3065594434738
47,4305,72.6858935952187
48,4864,73.0393944978714
49,5489,76.5878710150719
50,6175,76.9889596104622
